Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID
Abilene Christian Wildcats,Abilene Christian University,Wildcats,Southland Conference,1AA,ACU,ABC,TXAC,2.0
Acadia University,Acadia University,Acadia University,Atlantic University Sport,Canada,AUC,A,CNAC,
Adams State Grizzlies,Adams State College,Grizzlies,Rocky Mountain Athletic Conference,2,ADA,ASC,COAD,929.0
Adrian Bulldogs,Adrian College,Bulldogs,Michigan Intercollegiate Athletic Association,3,ADR,ADC,MIAD,4.0
Air Force Academy Falcons,United States Air Force Academy,Falcons,Mountain West Conference,1A,AIR,AF,COAF,721.0
Akron Zips,University of Akron,Zips,Mid-American Conference,1A,AKR,ZIP,OHAK,5.0
Alabama A&M Bulldogs,Alabama A&M University,Bulldogs,Southwestern Athletic Conference,1AA,ALA,AAM,ALAM,6.0
Alabama Crimson Tide,University of Alabama,Crimson Tide,Southeastern Conference,1A,AL,ALA,ALUN,8.0
Alabama State Hornets,Alabama State University,Hornets,Southwestern Athletic Conference,1AA,ALH,ALA,ALST,7.0
Alabama-Birmingham Blazers,University of Alabama-Birmingham,Blazers,Conference USA,1A,UAB,ALA,ALBI,9.0
Albany Great Danes,University at Albany,Great Danes,Colonial Athletic Association,1AA,ALB,ABY,NYAB,14.0
Albany State Rams,Albany State University,Rams,Southern Intercollegiate Athletic Conference,2,ASR,ABY,GAAL,13.0
Albion Britons,Albion College,Britons,Michigan Intercollegiate Athletic Association,3,ABB,ABC,MIAB,15.0
Albright Lions,Albright College,Lions,Middle Atlantic Conference,3,ABL,ABC,PAAB,16.0
Alcorn State Braves,Alcorn State University,Braves,Southwestern Athletic Conference,1AA,ALC,ASU,MSAL,17.0
Alderson Broaddus Battlers,Alderson Broaddus University,Battlers,Independent,2,AB,ALD,WVAB,934.0
Alfred Saxons,Alfred University,Saxons,Empire 8 Conference,3,ALF,ALU,NYAF,18.0
Alfred State Pioneers,Alfred State SUNY College of Technology,Pioneers,Independent,3,ASP,AS,NYAL,30170.0
Allegheny Gators,Allegheny College,Gators,North Coast Athletic Conference,3,ALE,ALG,PAAG,19.0
Alma Scots,Alma College,Scots,Michigan Intercollegiate Athletic Association,3,ALM,ALA,MIAM,21.0
Alvernia Golden Wolves,Alvernia University,Golden Wolves,Presidents Athletic Conference,3,ALV,ALU,PAAV,938.0
American,American,American,,OTHER,AMR,A,AMER,
American International Yellow Jackets,American International College,Yellow Jackets,Northeast-10 Conference,2,AI,AIU,MAAI,22.0
Amherst Jeffs,Amherst College,Jeffs,New England Small College Athletic Conference,3,AMH,AC,MAAM,24.0
Anderson Ravens,Anderson University,Ravens,Heartland Collegiate Athletic Conference,3,AND,AU,INAN,939.0
Angelo State Rams,Angelo State University,Rams,Lone Star Conference,2,ANG,ASU,TXAN,25.0
Anna Maria AmCats,Anna Maria College,AmCats,Eastern Collegiate Football Conference,3,AM,AMC,MAAN,26.0
Appalachian State Mountaineers,Appalachian State University,Mountaineers,Sun Belt Conference,1A,APP,ASU,NCAP,27.0
Arizona Christian Firestorm,Arizona Christian University,Firestorm,Independent,NAIA,AC,ACU,AZCH,504994.0
Arizona State Sun Devils,Arizona State University,Sun Devils,Pacific Twelve Conference,1A,ASU,ARZ,AZST,28.0
Arizona Wildcats,University of Arizona,Wildcats,Pacific Twelve Conference,1A,AZ,ARZ,AZUN,29.0
Arkansas Razorbacks,University of Arkansas,Razorbacks,Southeastern Conference,1A,AR,ARK,ARUN,31.0
Arkansas State Red Wolves,Arkansas State University,Red Wolves,Sun Belt Conference,1A,ARW,ARK,ARST,30.0
Arkansas Tech Wonder Boys,Arkansas Tech University,Wonder Boys,Great American Conference,2,ATU,ARK,ARTC,947.0
Arkansas-Monticello Boll Weevils,University of Arkansas-Monticello,Boll Weevils,Great American Conference,2,ARK,ARM,ARMO,8411.0
Arkansas-Pine Bluff Golden Lions,University of Arkansas-Pine Bluff,Golden Lions,Southwestern Athletic Conference,1AA,UAP,ARK,ARPB,2678.0
Army Black Knights,United States Military Academy,Black Knights,Independent,1A,ARM,ARY,NYWP,725.0
Ashland Eagles,Ashland University,Eagles,Great Lakes Intercollegiate Athletic Conference,2,ASH,AU,OHAS,35.0
Assumption Greyhounds,Assumption College,Greyhounds,Northeast-10 Conference,2,ASS,AC,MAAS,36.0
Auburn Tigers,Auburn University,Tigers,Southeastern Conference,1A,AUB,AU,ALAU,37.0
Augsburg Auggies,Augsburg College,Auggies,Minnesota Intercollegiate Athletic Conference,3,AUA,AC,MNAV,38.0
Augustana College Vikings,Augustana College (S.D.),Vikings,Northern Sun Intercollegiate Conference,2,AUG,AC,SDAU,41.0
Augustana Vikings,Augustana College (Ill.),Vikings,College Conference of Illinois and Wisconsin,3,ACV,AC,ILAU,40.0
Aurora Spartans,Aurora University,Spartans,Northern Athletics Conference,3,AUR,ARA,ILAR,42.0
Austin Kangaroos,Austin College,Kangaroos,Southern Collegiate Athletic Conference,3,AUS,AC,TXAU,953.0
Austin Peay Governors,Austin Peay State University,Governors,Ohio Valley Conference,1AA,APY,AUS,TNAP,43.0
Ave Maria Gyrenes,Ave Maria University,Gyrenes,The Sun Conference,NAIA,AVE,AM,FLAV,506346.0
Averett Cougars,Averett University,Cougars,USA South Athletic Conference,3,AVE,AVR,VAAV,44.0
Azusa Pacific Cougars,Azusa Pacific University,Cougars,Great Northwest Athletic Conference,2,AP,APU,CAAZ,30146.0
Bacone Warriors,Bacone College,Warriors,Central States Football League,NAIA,BAC,BC,OKBC,506174.0
Baker Wildcats,Baker University,Wildcats,Heart of America Athletic Conference,NAIA,BAK,BU,KSBA,506059.0
Baldwin-Wallace Yellow Jackets,Baldwin-Wallace College,Yellow Jackets,Ohio Athletic Conference,3,BW,BAL,OHBW,46.0
Ball State Cardinals,Ball State University,Cardinals,Mid-American Conference,1A,BAL,BSU,INBS,47.0
Barry Buccaneers,Barry University,Buccaneers,NO FOOTBALL,1AA,BAB,BAB,FLBA,
Bates Bobcats,Bates College,Bobcats,New England Small College Athletic Conference,3,BAT,BC,MEBA,50.0
Baylor Bears,Baylor University,Bears,Big Twelve Conference,1A,BAY,BU,TXBA,51.0
Becker Hawks,Becker College,Hawks,Eastern Collegiate Football Conference,3,BEC,BC,MABK,26107.0
Belhaven Blazers,Belhaven University,Blazers,Mid-South Conference,NAIA,BEL,BU,MSBH,30197.0
Beloit Buccaneers,Beloit College,Buccaneers,Midwest Conference,3,BEL,BC,WIBE,53.0
Bemidji State Beavers,Bemidji State University,Beavers,Northern Sun Intercollegiate Conference,2,BSU,BEM,MNBM,54.0
Benedict Tigers,Benedict College,Tigers,Southern Intercollegiate Athletic Conference,2,BEN,BC,SCBC,55.0
Benedictine Eagles,Benedictine University,Eagles,Northern Athletics Conference,3,BUE,BU,ILBE,296.0
Benedictine Ravens,Benedictine College,Ravens,Heart of America Athletic Conference,NAIA,BEN,BC,KSBN,506015.0
Bentley Falcons,Bentley College,Falcons,Northeast-10 Conference,2,BNT,BTY,MABE,56.0
Berry Vikings,Berry College,Vikings,Southern Athletic Association,3,BER,BC,GABE,973.0
Bethany Bison,Bethany College,Bison,Presidents Athletic Conference,3,BET,BTH,WVBE,59.0
Bethany Swedes,Bethany College,Swedes,Kansas Collegiate Athletic Conference,NAIA,BET,BTH,KSBY,506014.0
Bethel Royals,Bethel University,Royals,Minnesota Intercollegiate Athletic Conference,3,BTR,BTH,MNBT,60.0
Bethel Threshers,Bethel College (Kan.),Threshers,Kansas Collegiate Athletic Conference,NAIA,BET,BTH,KSBL,506120.0
Bethel Wildcats,Bethel University,Wildcats,Mid-South Conference,NAIA,BET,BU,TNBC,500500.0
Bethune-Cookman Wildcats,Bethune-Cookman College,Wildcats,Mid-Eastern Athletic Conference,1AA,BCC,BET,FLBC,61.0
Birmingham-Southern Panthers,Birmingham-Southern College,Panthers,Southern Athletic Association,3,BS,BSC,ALBS,28593.0
Bishop's University,Bishop's University,Bishop's University,Quebec Student Sports Foundation,Canada,BU,BIU,CNBI,
Black Hills Yellow Jackets,Black Hills State University,Yellow Jackets,Rocky Mountain Athletic Conference,2,BH,BHS,SDBH,30134.0
Blinn Buccaneers,Blinn College,Buccaneers,Southwest Junior College Football Conference,NJCAA,BLN,BLI,TXBL,
Bloomsburg Huskies,Bloomsburg University,Huskies,Pennsylvania State Athletic Conference,2,BLO,BU,PABL,65.0
Blue,Blue,Blue,,2,BLU,BLU,NBBL,
Bluefield Rams,Bluefield College,Rams,Mid-South Conference,NAIA,BLU,BC,VABL,500552.0
Bluffton Beavers,Bluffton College,Beavers,Heartland Collegiate Athletic Conference,3,BLF,BLU,OHBL,987.0
Boise State Broncos,Boise State University,Broncos,Mountain West Conference,1A,BOI,BSU,IDBO,66.0
Boston College Eagles,Boston College,Eagles,Atlantic Coast Conference,1A,BC,BOS,MABC,67.0
Bowdoin Polar Bears,Bowdoin College,Polar Bears,New England Small College Athletic Conference,3,BPB,BC,MEBO,69.0
Bowie State Bulldogs,Bowie State University,Bulldogs,Central Intercollegiate Athletic Association,2,BOW,BSU,MDBO,70.0
Bowling Green Falcons,Bowling Green State University,Falcons,Mid-American Conference,1A,BG,BGS,OHBG,71.0
Brevard Tornados,Brevard College,Tornados,South Atlantic Conference,2,BRE,BRV,NCBR,30094.0
Briar Cliff Chargers,Briar Cliff University,Chargers,Great Plains Athletic Conference,NAIA,BRI,BC,IABC,500615.0
Bridgewater College,Bridgewater College,Eagles,Old Dominion Athletic Conference,3,BRI,BC,VABR,75.0
Bridgewater State Bears,Bridgewater State College,Bears,Massachusetts State College Athletic Conference,3,BCB,BSC,MABR,76.0
Brigham Young Cougars,Brigham Young University,Cougars,Independent,1A,BYU,BY,UTBY,77.0
Brown Bears,Brown University,Bears,Ivy League,1AA,BU,BRO,RIBR,80.0
Bryant Bulldogs,Bryant University,Bulldogs,Northeast Conference,1AA,BRY,BU,RIBT,81.0
Bucknell Bison,Bucknell University,Bison,Patriot League,1AA,BCK,BUC,PABU,83.0
Buena Vista Beavers,Buena Vista University,Beavers,Iowa Intercollegiate Athletic Conference,3,BV,BUE,IABV,84.0
Buffalo Bulls,University at Buffalo,Bulls,Mid-American Conference,1A,BUF,UB,NYBU,86.0
Buffalo State Bengals,Buffalo State College,Bengals,Empire 8 Conference,3,BSB,BSC,NYBC,85.0
Butler Bulldogs,Butler University,Bulldogs,Pioneer Football League,1AA,BUT,BU,INBU,87.0
Butte Roadrunners,Butte College,Roadrunners,Northern California Football Conference,CCCCA,BUT,BTT,CABU,
Cal Poly Mustangs,California Poly State University,Mustangs,Big Sky Conference,1AA,CPS,A,CASL,90.0
Calgary Dinos,University of Calgary,Dinos,Canada West Universities Athletic Association,Canada,CAL,CL,CNCA,506453.0
California Lutheran Kingsmen,California Lutheran University,Kingsmen,Southern California Intercollegiate Athletic Conf.,3,CAL,CLU,CALU,105.0
California State Sacramento Hornets,California State University-Sacramento,Hornets,Big Sky Conference,1AA,CAS,CSU,CASA,102.0
California University of Pennsylvania Vulcans,California University of Pennsylvania,Vulcans,Pennsylvania State Athletic Conference,2,CPA,CAL,PACS,106.0
California-Berkeley Golden Bears,University of California-Berkeley,Golden Bears,Pacific Twelve Conference,1A,UCB,CAL,CAUN,107.0
California-Davis Aggies,University of California-Davis,Aggies,Big Sky Conference,1AA,UCD,CAD,CADA,108.0
California-Los Angeles Bruins,University of California-Los Angeles,Bruins,Pacific Twelve Conference,1A,CLA,UCL,CALA,110.0
Campbell Camels,Campbell University,Camels,Pioneer Football League,1AA,CAM,CU,NCCM,115.0
Campbellsville Tigers,Campbellsville University,Tigers,Mid-South Conference,NAIA,CAM,CU,KYCA,500785.0
Capital Crusaders,Capital University,Crusaders,Ohio Athletic Conference,3,CAP,CU,OHCU,117.0
Carleton Knights,Carleton College,Knights,Minnesota Intercollegiate Athletic Conference,3,CAR,CC,MNCA,118.0
Carnegie Mellon Tartans,Carnegie Mellon University,Tartans,Presidents Athletic Conference,3,CM,CAR,PACA,119.0
Carroll Fighting Saints,Carroll College,Fighting Saints,Frontier Conference,NAIA,CAR,CC,MTCA,506056.0
Carroll Pioneers,Carroll University,Pioneers,Midwest Conference,3,CCP,CU,WICL,120.0
Carson-Newman Eagles,Carson-Newman College,Eagles,South Atlantic Conference,2,CNC,CAR,TNCN,1000.0
Carthage Red Men,Carthage College,Red Men,College Conference of Illinois and Wisconsin,3,CRM,CTH,WICG,121.0
Case Western Reserve Spartans,Case Western Reserve University,Spartans,Presidents Athletic Conference,3,CWR,CAS,OHCW,122.0
Castleton Spartans,Castleton State College,Spartans,Eastern Collegiate Football Conference,3,CUS,CSC,VTCA,123.0
Catawba Indians,Catawba College,Indians,South Atlantic Conference,2,CAT,CAW,NCCA,1001.0
Catholic Cardinals,The Catholic University of America,Cardinals,Old Dominion Athletic Conference,3,CUA,CAT,DCCA,124.0
Central Arkansas Bears,University of Central Arkansas,Bears,Southland Conference,1AA,UCA,CAR,ARCE,1004.0
Central Connecticut Blue Devils,Central Connecticut State University,Blue Devils,Northeast Conference,1AA,CCS,CEN,CTCE,127.0
Central Dutch,Central College,Dutch,Iowa Intercollegiate Athletic Conference,3,CCD,CC,IACE,126.0
Central Florida Knights,University of Central Florida,Knights,American Athletic Conference,1A,UCF,CF,FLCE,128.0
Central Methodist Eagles,Central Methodist University,Eagles,Heart of America Athletic Conference,NAIA,CM,CMU,MOCM,506026.0
Central Michigan Chippewas,Central Michigan University,Chippewas,Mid-American Conference,1A,CMU,CEN,MICE,129.0
Central Missouri Mules,University of Central Missouri,Mules,Mid-America Intercollegiate Athletic Association,2,UCM,CEM,MOCE,130.0
Central Oklahoma Bronchos,University of Central Oklahoma,Bronchos,Mid-America Intercollegiate Athletic Association,2,COB,CEN,OKCE,1009.0
Central State Marauders,Central State University,Marauders,Southern Intercollegiate Athletic Conference,2,CEN,CSU,OHCE,30049.0
Central Washington Wildcats,Central Washington University,Wildcats,Great Northwest Athletic Conference,2,CWU,CEN,WACE,1010.0
Centre Colonels,Centre College,Colonels,Southern Athletic Association,3,CCC,CC,KYCN,132.0
Chadron State Eagles,Chadron State College,Eagles,Rocky Mountain Athletic Conference,2,CSE,CSC,NECH,1012.0
Chapman Panthers,Chapman University,Panthers,Southern California Intercollegiate Athletic Conf.,3,CUP,CU,CACC,134.0
Charleston Golden Eagles,University of Charleston,Golden Eagles,Mountain East Conference,2,CH,UC,WVCH,1013.0
Charleston Southern Buccaneers,Charleston Southern University,Buccaneers,Big South Conference,1AA,CHA,CSU,SCCH,48.0
Charlotte 49ers,University of North Carolina - Charlotte,49ers,Conference USA,1A,NCC,CHA,NCCR,458.0
Cheyney Wolves,Cheyney University,Wolves,Pennsylvania State Athletic Conference,2,CHY,CHE,PACH,135.0
Chicago Maroons,University of Chicago,Maroons,Independent,3,CHI,UC,ILCH,137.0
Chowan Hawks,Chowan College,Hawks,Central Intercollegiate Athletic Association,2,CHW,CHO,NCCH,8875.0
Christopher Newport Captains,Christopher Newport University,Captains,New Jersey Athletic Conference,3,CNU,CHR,VACN,139.0
Cincinnati Bearcats,University of Cincinnati,Bearcats,American Athletic Conference,1A,CIN,UC,OHCI,140.0
Citadel Bulldogs,The Citadel,Bulldogs,Southern Conference,1AA,CIT,TC,SCCI,141.0
Claremont-Mudd-Scripps Stags,Claremont-Mudd-Scripps Colleges,Stags,Southern California Intercollegiate Athletic Conf.,3,CMS,CLA,CACM,142.0
Clarion Golden Eagles,Clarion University,Golden Eagles,Pennsylvania State Athletic Conference,2,CGE,CU,PACL,143.0
Clark Atlanta Black Panthers,Clark Atlanta University,Black Panthers,Southern Intercollegiate Athletic Conference,2,CAU,CLA,GACL,144.0
Clemson Tigers,Clemson University,Tigers,Atlantic Coast Conference,1A,CLM,CLE,SCCL,147.0
Coast Guard Bears,United States Coast Guard Academy,Bears,New England Football Conference,3,CG,UCG,CTCG,722.0
Coastal Carolina Chanticleers,Coastal Carolina University,Chanticleers,Big South Conference,1AA,CCU,COA,SCCC,149.0
Coe Kohawks,Coe College,Kohawks,Iowa Intercollegiate Athletic Conference,3,COE,CC,IACO,150.0
Colby Mules,Colby College,Mules,New England Small College Athletic Conference,3,CLB,CBY,MECO,151.0
Colgate Raiders,Colgate University,Raiders,Patriot League,1AA,COL,CGT,NYCG,153.0
College of Faith Saints,College of Faith,Saints,Independent,OTHER,CF,FAI,NCFT,506473.0
College of Faith Warriors,College of Faith,Warriors,Independent,NAIA,COF,FAI,ARCF,506460.0
College of Idaho Yotes,The College of Idaho,Yotes,Frontier Conference,NAIA,COI,CI,IDCO,500088.0
College of the Redwoods Corsairs,College of the Redwoods,Corsairs,Northern California Football Conference,CCCCA,RED,COR,CARD,
Colorado Buffaloes,University of Colorado,Buffaloes,Pacific Twelve Conference,1A,CO,COL,COUN,157.0
Colorado School of Mines Orediggers,Colorado School of Mines,Orediggers,Rocky Mountain Athletic Conference,2,CSM,COL,COMI,155.0
Colorado State - Pueblo Thunderwolves,Colorado State U. - Pueblo,Thunderwolves,Rocky Mountain Athletic Conference,2,CSP,COL,COSO,2720.0
Colorado State Rams,Colorado State University,Rams,Mountain West Conference,1A,CSU,COL,COST,156.0
Columbia Lions,Columbia University,Lions,Ivy League,1AA,CUL,CU,NYCL,158.0
Concord Mountain Lions,Concord University,Mountain Lions,Mountain East Conference,2,CND,CU,WVCO,1028.0
Concordia Bulldogs,Concordia University,Bulldogs,Great Plains Athletic Conference,NAIA,CU,CNU,NECO,506061.0
Concordia Cardinals,Concordia University,Cardinals,Mid-States Football Association,NAIA,CU,CO,MICO,501123.0
Concordia Cobbers,Concordia College,Cobbers,Minnesota Intercollegiate Athletic Conference,3,CC,CNC,MNCO,161.0
Concordia Cougars,Concordia University,Cougars,Northern Athletics Conference,3,CUC,CU,ILCT,160.0
Concordia Falcons,Concordia University,Falcons,Northern Athletics Conference,3,CUF,CU,WICC,1036.0
Concordia Golden Bears,Concordia University,Golden Bears,Northern Sun Intercollegiate Conference,2,CGB,CU,MNSP,9081.0
Concordia Hornets,Concordia College-Selma,Hornets,Other,NAIA,CND,CCS,ALCO,506112.0
Connecticut Huskies,University of Connecticut,Huskies,American Athletic Conference,1A,UCO,CND,CTUN,164.0
Cornell Big Red,Cornell University,Big Red,Ivy League,1AA,COR,CRN,NYCN,167.0
Cornell Rams,Cornell College,Rams,Midwest Conference,3,CCR,CRN,IACR,166.0
Cortland Red Dragons,SUNY - College at Cortland,Red Dragons,Empire 8 Conference,3,SUN,SUC,NYCT,168.0
Crown Storm,Crown College,Storm,Upper Midwest Athletic Conference,3,CRO,CWN,MNPB,30035.0
Culver-Stockton Wildcats,Culver-Stockton College,Wildcats,Heart of America Athletic Conference,NAIA,CS,CSC,MOCS,506032.0
Cumberland Bulldogs,Cumberland University,Bulldogs,Mid-South Conference,NAIA,CU,CUM,TNCC,501207.0
Cumberlands Patriots,University of the Cumberlands,Patriots,Mid-South Conference,NAIA,CUM,UOC,KYCC,506101.0
Curry Colonels,Curry College,Colonels,New England Football Conference,3,CUR,CRY,MACU,170.0
Dakota State Trojans,Dakota State University,Trojans,North Star Athletic Association,NAIA,DAK,DS,SDDS,506066.0
Dakota Wesleyan Tigers,Dakota Wesleyan University,Tigers,Great Plains Athletic Conference,NAIA,DW,DWU,SDWS,506033.0
Dartmouth Big Green,Dartmouth College,Big Green,Ivy League,1AA,DAR,DRT,NHDA,172.0
Davenport University,Davenport University,Panthers,Great Lakes Intercollegiate Athletic Conference,2,DVU,DVP,MIDA,30221.0
Davidson Wildcats,Davidson College,Wildcats,Pioneer Football League,1AA,DAV,DVD,NCDA,173.0
Dayton Flyers,University of Dayton,Flyers,Pioneer Football League,1AA,DAY,UD,OHDA,175.0
Dean College,Dean College,Dean College,Northeast JC Football Conference,3,DC,DCB,MADE,30219.0
Defiance Yellow Jackets,Defiance College,Yellow Jackets,Heartland Collegiate Athletic Conference,3,DEF,DC,OHDF,1050.0
Delaware Blue Hens,University of Delaware,Blue Hens,Colonial Athletic Association,1AA,DE,DEL,DEUN,180.0
Delaware State Hornets,Delaware State University,Hornets,Mid-Eastern Athletic Conference,1AA,DSU,DEL,DEST,178.0
Delaware Valley Aggies,Delaware Valley College,Aggies,Middle Atlantic Conference,3,DVC,DEL,PADV,179.0
Delta State Statesmen,Delta State University,Statesmen,Gulf South Conference,2,DEL,DSU,MSDE,181.0
Denison Big Red,Denison University,Big Red,North Coast Athletic Conference,3,DEN,DU,OHDN,182.0
DePauw Tigers,DePauw University,Tigers,North Coast Athletic Conference,3,DEP,DU,INDE,177.0
Desperados,Desperados,Desperados,Other,OTHER,DES,D,DESP,
Diablo Valley Vikings,Diablo Valley College,Vikings,Northern California Football Conference,CCCCA,DVC,DIA,CADV,
Dickinson Blue Hawks,Dickinson State University,Blue Hawks,North Star Athletic Association,NAIA,DSU,DIC,NDDI,506123.0
Dickinson Red Devils,Dickinson College,Red Devils,Centennial Conference,3,DIC,DC,PADI,185.0
Dixie Red Storm,Dixie State College of Utah,Red Storm,Great Northwest Athletic Conference,2,DIX,DSC,UTDX,30095.0
Doane Tigers,Doane College,Tigers,Great Plains Athletic Conference,NAIA,DO,DC,NEDO,30082.0
Dordt Defenders,Dordt College,Defenders,Great Plains Athletic Conference,NAIA,DOR,DC,IADO,501390.0
Drake Bulldogs,Drake University,Bulldogs,Pioneer Football League,1AA,DRA,DU,IADR,189.0
Dubuque Spartans,University of Dubuque,Spartans,Iowa Intercollegiate Athletic Conference,3,DUB,UD,IADU,192.0
Duke Blue Devils,Duke University,Blue Devils,Atlantic Coast Conference,1A,DUK,DU,NCDU,193.0
Duquesne Dukes,Duquesne University,Dukes,Northeast Conference,1AA,DUQ,DU,PADU,194.0
Earlham Quakers,Earlham College,Quakers,Heartland Collegiate Athletic Conference,3,EAR,EC,INEA,195.0
East,East,East,,OTHER,E,EAS,EAST,
East Carolina Pirates,East Carolina University,Pirates,American Athletic Conference,1A,ECU,EC,NCEA,196.0
East Central Tigers,East Central University,Tigers,Great American Conference,2,ECT,EC,OKEC,8965.0
East Stroudsburg Warriors,East Stroudsburg University,Warriors,Pennsylvania State Athletic Conference,2,ESU,ES,PAES,197.0
East Tennessee Buccaneers,East Tennessee State University,Buccaneers,Independent,1AA,ETS,ETU,TNEA,198.0
East Texas Baptist Tigers,East Texas Baptist University,Tigers,American Southwest Conference,3,ETB,ETU,TXBP,1062.0
Eastern Illinois Panthers,Eastern Illinois University,Panthers,Ohio Valley Conference,1AA,EIU,EI,ILEA,201.0
