Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,NFS Team Code,NCAA ID
Eastern Kentucky Colonels,Eastern Kentucky University,Colonels,Ohio Valley Conference,1AA,EKU,EK,KYEA,202.0
Eastern Michigan Eagles,Eastern Michigan University,Eagles,Mid-American Conference,1A,EMU,EM,MIEA,204.0
Eastern New Mexico Greyhounds,Eastern New Mexico University,Greyhounds,Lone Star Conference,2,ENM,ENU,NMEA,206.0
Eastern Oregon Mountaineers,Eastern Oregon University,Mountaineers,Frontier Conference,NAIA,EOU,EO,OREA,506406.0
Eastern Washington Eagles,Eastern Washington University,Eagles,Big Sky Conference,1AA,EWU,EW,WAEA,207.0
Edinboro Fighting Scots,Edinboro University,Fighting Scots,Pennsylvania State Athletic Conference,2,EU,EDI,PAED,209.0
Edward Waters Tigers,Edward Waters College,Tigers,The Sun Conference,NAIA,EDW,EWC,FLEW,501555.0
Elizabeth City Vikings,Elizabeth City State University,Vikings,Central Intercollegiate Athletic Association,2,ECS,EC,NCEC,210.0
Elmhurst Blue Jays,Elmhurst College,Blue Jays,College Conference of Illinois and Wisconsin,3,ELM,EC,ILEL,212.0
Elon Phoenix,Elon University,Phoenix,Colonial Athletic Association,1AA,ELO,ELN,NCEL,1068.0
Emory & Henry Wasps,Emory & Henry College,Wasps,Old Dominion Athletic Conference,3,EHC,EMO,VAEH,216.0
Emporia State Hornets,Emporia State University,Hornets,Mid-America Intercollegiate Athletic Association,2,ESH,EMP,KSTH,1071.0
Endicott Gulls,Endicott College,Gulls,New England Football Conference,3,END,EC,MAEN,8981.0
Erie Kats,Erie Community College,Kats,Independent,NJCAA,ECC,ERE,NYER,
Eureka Red Devils,Eureka College,Red Devils,Upper Midwest Athletic Conference,3,EUR,EC,ILEU,218.0
Evangel Crusaders,Evangel University,Crusaders,Heart of America Athletic Conference,NAIA,EVA,EU,MOEV,506080.0
Fairleigh Dickinson-Florham Devils,Fairleigh Dickinson University-Florham,Devils,Middle Atlantic Conference,3,FDF,FDU,NJFD,221.0
Fairmont State Fighting Falcons,Fairmont State College,Fighting Falcons,Mountain East Conference,2,FSC,FAI,WVFA,1076.0
Faith Glory Eagles,University of Faith,Glory Eagles,Independent,OTHER,UF,FAI,FLFT,506485.0
Faulkner Eagles,Faulkner University,Eagles,Mid-South Conference,NAIA,FU,FLK,ALFA,501659.0
Fayetteville State Broncos,Fayetteville State University,Broncos,Central Intercollegiate Athletic Association,2,FAY,FSU,NCFA,223.0
Ferris State Bulldogs,Ferris State University,Bulldogs,Great Lakes Intercollegiate Athletic Conference,2,FER,FSU,MIFE,224.0
Ferrum Panthers,Ferrum College,Panthers,USA South Athletic Conference,3,FCP,FC,VAFC,225.0
Findlay Oilers,University of Findlay,Oilers,Great Lakes Intercollegiate Athletic Conference,2,FIN,UF,OHFI,1079.0
Finlandia Lions,Finlandia University,Lions,Independent,3,FUL,FU,MIFI,30032.0
Fitchburg State Falcons,Fitchburg State College,Falcons,Massachusetts State College Athletic Conference,3,FIT,FSC,MAFI,227.0
Florida A&M Rattlers,Florida A&M University,Rattlers,Mid-Eastern Athletic Conference,1AA,FAM,FL,FLAM,228.0
Florida Atlantic Owls,Florida Atlantic University,Owls,Conference USA,1A,FAU,FL,FLAT,229.0
Florida Gators,University of Florida,Gators,Southeastern Conference,1A,FL,FLO,FLUN,235.0
Florida International Golden Panthers,Florida International University,Golden Panthers,Conference USA,1A,FIU,FL,FLIN,231.0
Florida State Seminoles,Florida State University,Seminoles,Atlantic Coast Conference,1A,FSU,FL,FLST,234.0
Florida Tech Panthers,Florida Institute of Technology,Panthers,Gulf South Conference,2,FT,FTU,FLTC,230.0
Fordham Rams,Fordham University,Rams,Patriot League,1AA,FOR,FU,NYFO,236.0
Fort Hays Tigers,Fort Hays State University,Tigers,Mid-America Intercollegiate Athletic Association,2,FH,FHS,KSFH,9011.0
Fort Lewis Skyhawks,Fort Lewis College,Skyhawks,Rocky Mountain Athletic Conference,2,FLS,FLC,COFL,1083.0
Fort Valley Wildcats,Fort Valley State University,Wildcats,Southern Intercollegiate Athletic Conference,2,FV,FVS,GAFV,237.0
Framingham State Rams,Framingham State College,Rams,Massachusetts State College Athletic Conference,3,FRA,FSC,MAFR,238.0
Franklin & Marshall Diplomats,Franklin & Marshall College,Diplomats,Centennial Conference,3,FM,FMC,PAFM,239.0
Franklin Grizzlies,Franklin College,Grizzlies,Heartland Collegiate Athletic Conference,3,FCG,FRK,INFR,2694.0
Fresno State Bulldogs,Fresno State University,Bulldogs,Mountain West Conference,1A,FSB,FRE,CAFR,96.0
Friends Falcons,Friends University,Falcons,Kansas Collegiate Athletic Conference,NAIA,FRI,FU,KSFR,501826.0
Frostburg State Bobcats,Frostburg State University,Bobcats,New Jersey Athletic Conference,3,FRO,FSU,MDFR,243.0
Furman Paladins,Furman University,Paladins,Southern Conference,1AA,FUR,FU,SCFU,244.0
Gallaudet Bison,Gallaudet University,Bison,Eastern Collegiate Football Conference,3,GAL,GU,DCGA,245.0
Gannon Golden Knights,Gannon University,Golden Knights,Pennsylvania State Athletic Conference,2,GAN,GU,PAGA,246.0
Gardner-Webb Runnin' Bulldogs,Gardner-Webb University,Runnin' Bulldogs,Big South Conference,1AA,GW,GWU,NCGW,1092.0
Geneva Golden Tornadoes,Geneva College,Golden Tornadoes,Presidents Athletic Conference,3,GEN,GC,PAGN,30084.0
George Fox Bruin,George Fox University,Bruin,Northwest Conference,3,GF,GFU,ORGF,1094.0
Georgetown Hoyas,Georgetown University,Hoyas,Patriot League,1AA,GEO,GU,DCGT,251.0
Georgetown Tigers,Georgetown College (Ky.),Tigers,Mid-South Conference,NAIA,GEO,GC,KYGT,506003.0
Georgia Bulldogs,University of Georgia,Bulldogs,Southeastern Conference,1A,GA,GEO,GAUN,257.0
Georgia Southern Eagles,Georgia Southern University,Eagles,Sun Belt Conference,1A,GS,GSU,GASO,253.0
Georgia State Panthers,Georgia State University,Panthers,Sun Belt Conference,1A,GAS,GEO,GAST,254.0
Georgia Tech Yellow Jackets,Georgia Institute of Technology,Yellow Jackets,Atlantic Coast Conference,1A,GIT,GA,GATC,255.0
Gettysburg Bullets,Gettysburg College,Bullets,Centennial Conference,3,GET,GC,PAGB,258.0
Glenville State Pioneers,Glenville State College,Pioneers,Mountain East Conference,2,GLE,GSC,WVGL,1098.0
Graceland Yellowjackets,Graceland University,Yellowjackets,Heart of America Athletic Conference,NAIA,GRA,GU,IAGL,
Grambling State Tigers,Grambling State University,Tigers,Southwestern Athletic Conference,1AA,GRA,GSU,LAGR,261.0
Grand Valley State Lakers,Grand Valley State University,Lakers,Great Lakes Intercollegiate Athletic Conference,2,GV,GVS,MIGV,262.0
Grand View Vikings,Grand View University,Vikings,Mid-States Football Association,NAIA,GV,GVU,IAGV,501982.0
Greensboro Pride,Greensboro College,Pride,USA South Athletic Conference,3,GRE,GC,NCGR,263.0
Greenville Panthers,Greenville College,Panthers,Upper Midwest Athletic Conference,3,GCP,GC,ILGV,1111.0
Grinnell Pioneers,Grinnell College,Pioneers,Midwest Conference,3,GRI,GC,IAGN,264.0
Grove City Wolverines,Grove City College,Wolverines,Presidents Athletic Conference,3,GRO,GCC,PAGC,265.0
Guilford Quakers,Guilford College,Quakers,Old Dominion Athletic Conference,3,GUI,GC,NCGU,1112.0
Gustavus Adolphus Golden Gusties,Gustavus Adolphus College,Golden Gusties,Minnesota Intercollegiate Athletic Conference,3,GUS,GAC,MNGA,266.0
Hamilton Continentals,Hamilton College,Continentals,New England Small College Athletic Conference,3,HAC,HC,NYHA,267.0
Hamline Pipers,Hamline University,Pipers,Minnesota Intercollegiate Athletic Conference,3,HAP,HU,MNHA,268.0
Hampden-Sydney Tigers,Hampden-Sydney College,Tigers,Old Dominion Athletic Conference,3,HSC,HAM,VAHS,269.0
Hampton Pirates,Hampton University,Pirates,Mid-Eastern Athletic Conference,1AA,HAM,HU,VAHI,270.0
Hanover Panthers,Hanover College,Panthers,Heartland Collegiate Athletic Conference,3,HAN,HC,INHA,1115.0
Hardin-Simmons Cowboys,Hardin-Simmons University,Cowboys,American Southwest Conference,3,HSU,HAR,TXHS,271.0
Harding Bison,Harding University,Bison,Great American Conference,2,HRB,HU,ARHA,1116.0
Hartwick Hawks,Hartwick College,Hawks,Empire 8 Conference,3,HRH,HC,NYHW,273.0
Harvard Crimson,Harvard University,Crimson,Ivy League,1AA,HAR,HRV,MAHA,275.0
Haskell Indians,Haskell Indian Nations University,Indians,Independent,NAIA,HAS,HIN,KSHA,506153.0
Hastings Broncos,Hastings College,Broncos,Great Plains Athletic Conference,NAIA,HAS,HC,NEHA,30113.0
Hawaii Warriors,University of Hawaii,Warriors,Mountain West Conference,1A,HI,HAW,HIUN,277.0
Heidelberg Student Princes,Heidelberg College,Student Princes,Ohio Athletic Conference,3,HEI,HC,OHHE,278.0
Henderson State Reddies,Henderson State University,Reddies,Great American Conference,2,HEN,HSU,ARHE,1123.0
Hendrix Warriors,Hendrix College,Warriors,Southern Athletic Association,3,HCW,HC,ARHN,1124.0
Hillsdale Chargers,Hillsdale College,Chargers,Great Lakes Intercollegiate Athletic Conference,2,HIL,HC,MIHI,280.0
Hinds Eagles,Hinds Community College,Eagles,Mississippi CC Athletic Association,NJCAA,HCC,HIN,MSHI,
Hiram Terriers,Hiram College,Terriers,North Coast Athletic Conference,3,HIR,HC,OHHI,281.0
Hobart Statesmen,Hobart and William Smith Colleges,Statesmen,Liberty League,3,HOB,HWS,NYHB,282.0
Holy Cross Crusaders,College of the Holy Cross,Crusaders,Patriot League,1AA,HC,HOL,MAHC,285.0
Hope Flying Dutchmen,Hope College,Flying Dutchmen,Michigan Intercollegiate Athletic Association,3,HOP,HC,MIHO,286.0
Houston Baptist Huskies,Houston Baptist University,Huskies,Southland Conference,1AA,HBU,HB,TXHT,287.0
Houston Cougars,University of Houston,Cougars,American Athletic Conference,1A,HOU,HST,TXHO,288.0
Howard Bison,Howard University,Bison,Mid-Eastern Athletic Conference,1AA,HOW,HU,DCHO,290.0
Howard Payne Yellow Jackets,Howard Payne University,Yellow Jackets,American Southwest Conference,3,HP,HPU,TXHP,2741.0
Humboldt State Lumberjacks,Humboldt State University,Lumberjacks,Great Northwest Athletic Conference,2,HUM,HSU,CAHU,291.0
Huntingdon Hawks,Huntingdon College,Hawks,USA South Athletic Conference,3,HUN,HC,ALHU,1130.0
Husson Eagles,Husson University,Eagles,Eastern Collegiate Football Conference,3,HUS,HU,MEHU,1133.0
Idaho State Bengals,Idaho State University,Bengals,Big Sky Conference,1AA,ISB,IDA,IDST,294.0
Idaho Vandals,University of Idaho,Vandals,Sun Belt Conference,1A,ID,IDA,IDUN,295.0
Illinois Blueboys,Illinois College,Blueboys,Midwest Conference,3,ILB,ILL,ILCL,297.0
Illinois Fighting Illini,University of Illinois,Fighting Illini,Big Ten Conference,1A,IL,ILL,ILUN,301.0
Illinois State Redbirds,Illinois State University,Redbirds,Missouri Valley Football Conference,1AA,ILS,ILL,ILST,299.0
Illinois Wesleyan Titans,Illinois Wesleyan University,Titans,College Conference of Illinois and Wisconsin,3,IWU,ILL,ILWS,300.0
Incarnate Word Cardinals,University of the Incarnate Word,Cardinals,Southland Conference,1AA,INC,UIW,TXIW,2743.0
Indiana Hoosiers,Indiana University,Hoosiers,Big Ten Conference,1A,IN,IND,INUN,306.0
Indiana State Sycamores,Indiana State University,Sycamores,Missouri Valley Football Conference,1AA,ISS,IND,INST,305.0
Indiana University Crimson Hawks,Indiana University of Pennsylvania,Crimson Hawks,Pennsylvania State Athletic Conference,2,IUP,IND,PAIU,307.0
Indianapolis Greyhounds,University of Indianapolis,Greyhounds,Great Lakes Valley Conference,2,IND,UI,INCE,309.0
Iowa Hawkeyes,University of Iowa,Hawkeyes,Big Ten Conference,1A,IA,IOW,IAUN,312.0
Iowa State Cyclones,Iowa State University,Cyclones,Big Twelve Conference,1A,ISU,IAS,IAST,311.0
Iowa Wesleyan Tigers,Iowa Wesleyan College,Tigers,Upper Midwest Athletic Conference,3,IW,IWC,IAWS,30173.0
Ithaca Bombers,Ithaca College,Bombers,Empire 8 Conference,3,ITH,IC,NYIT,313.0
Jackson State Tigers,Jackson State University,Tigers,Southwestern Athletic Conference,1AA,JAC,JAX,MSJA,314.0
Jacksonville Dolphins,Jacksonville University,Dolphins,Pioneer Football League,1AA,JXD,JAX,FLJA,316.0
Jacksonville State Gamecocks,Jacksonville State University,Gamecocks,Ohio Valley Conference,1AA,JXS,JAX,ALJA,315.0
James Madison Dukes,James Madison University,Dukes,Colonial Athletic Association,1AA,JMU,JAM,VAJM,317.0
Jamestown Jimmies,University of Jamestown,Jimmies,North Star Athletic Association,NAIA,JAM,UJ,NDJA,506057.0
John Carroll Blue Streaks,John Carroll University,Blue Streaks,Ohio Athletic Conference,3,JC,JCU,OHJC,320.0
Johns Hopkins Blue Jays,Johns Hopkins University,Blue Jays,Centennial Conference,3,JH,JHU,MDJH,322.0
Johnson C. Smith Golden Bulls,Johnson C. Smith University,Golden Bulls,Central Intercollegiate Athletic Association,2,JCS,JSU,NCJC,323.0
Jones County Bobcats,Jones County Junior College,Bobcats,Mississippi CC Athletic Association,NJCAA,JC,JCJ,MSJC,
Juniata Eagles,Juniata College,Eagles,Centennial Conference,3,JUN,JC,PAJU,325.0
Kalamazoo Hornets,Kalamazoo College,Hornets,Michigan Intercollegiate Athletic Association,3,KAL,KC,MIKA,326.0
Kansas Jayhawks,University of Kansas,Jayhawks,Big Twelve Conference,1A,KS,KAN,KSUN,328.0
Kansas State Wildcats,Kansas State University,Wildcats,Big Twelve Conference,1A,KST,KAN,KSST,327.0
Kansas Wesleyan Coyotes,Kansas Wesleyan University,Coyotes,Kansas Collegiate Athletic Conference,NAIA,KW,KWU,KSWS,506103.0
Kean Cougars,Kean University,Cougars,New Jersey Athletic Conference,3,KU,KEA,NJKE,329.0
Kennesaw State Owls,Kennesaw State University,Owls,Big South Conference,1AA,KSO,KSU,GAKS,1157.0
Kent State Golden Flashes,Kent State University,Golden Flashes,Mid-American Conference,1A,KEN,KST,OHKS,331.0
Kentucky Christian Knights,Kentucky Christian,Knights,Mid-South Conference,NAIA,KC,KCU,KYCH,502500.0
Kentucky State Thorobreds,Kentucky State University,Thorobreds,Southern Intercollegiate Athletic Conference,2,KSU,KST,KYST,332.0
Kentucky Wesleyan Panthers,Kentucky Wesleyan College,Panthers,Independent,2,KW,KWC,KYWS,333.0
Kentucky Wildcats,University of Kentucky,Wildcats,Southeastern Conference,1A,KY,KEN,KYUN,334.0
Kenyon Lords,Kenyon College,Lords,North Coast Athletic Conference,3,KCL,KNY,OHKE,335.0
King's Monarchs,King's College,Monarchs,Middle Atlantic Conference,3,KC,KIN,PAKI,336.0
Kings Point Mariners,United States Merchant Marine Academy,Mariners,Liberty League,3,MMA,KP,NYMM,724.0
Knox Prairie Fire,Knox College,Prairie Fire,Midwest Conference,3,KNX,KNO,ILKN,337.0
Kutztown Golden Bears,Kutztown University,Golden Bears,Pennsylvania State Athletic Conference,2,KUT,KU,PAKU,339.0
Lafayette Leopards,Lafayette College,Leopards,Patriot League,1AA,LAF,LAY,PALF,342.0
LaGrange Panthers,LaGrange College,Panthers,USA South Athletic Conference,3,LC,LAG,GALA,1162.0
Lake Erie Storm,Lake Erie College,Storm,Great Lakes Intercollegiate Athletic Conference,2,LE,LEC,OHLE,2746.0
Lake Forest Foresters,Lake Forest College,Foresters,Midwest Conference,3,LFC,LAF,ILLF,344.0
Lakeland Muskies,Lakeland College,Muskies,Northern Athletics Conference,3,LAK,LC,WILK,1164.0
Lamar Cardinals,Lamar University,Cardinals,Southland Conference,1AA,LAM,LU,TXLA,346.0
Lane Dragons,Lane College,Dragons,Southern Intercollegiate Athletic Conference,2,LAN,LNE,TNLA,347.0
Langston Lions,Langston University,Lions,Central States Football League,NAIA,LAN,LU,OKLA,506054.0
LaVerne Leopards,University of LaVerne,Leopards,Southern California Intercollegiate Athletic Conf.,3,LAV,UL,CALV,341.0
Lawrence Vikings,Lawrence University,Vikings,Midwest Conference,3,LAW,LU,WILW,348.0
Lebanon Valley Dutchmen,Lebanon Valley College,Dutchmen,Middle Atlantic Conference,3,LV,LVC,PALV,351.0
Lehigh Mountain Hawks,Lehigh University,Mountain Hawks,Patriot League,1AA,LEH,LU,PALE,352.0
Lenoir-Rhyne Bears,Lenoir-Rhyne College,Bears,South Atlantic Conference,2,LRC,LEN,NCLR,1170.0
Lewis & Clark Pioneers,Lewis & Clark College,Pioneers,Northwest Conference,3,LCP,LCC,ORLC,22235.0
Liberty Flames,Liberty University,Flames,Big South Conference,1AA,LIB,LU,VALB,355.0
Limestone Saints,Limestone College,Saints,Independent,2,LIM,LC,SCLC,1174.0
Lincoln Blue Tigers,Lincoln University of Missouri,Blue Tigers,Great Lakes Valley Conference,2,LIN,LUM,MOLN,356.0
Lincoln Lions,Lincoln University (Pa.),Lions,Central Intercollegiate Athletic Association,2,LCN,LU,PALN,357.0
Lindenwood Lions,Lindenwood University,Lions,Mid-America Intercollegiate Athletic Association,2,LUL,LU,MOLW,30136.0
Lindenwood Lynx,Lindenwood University - Belleville,Lynx,Independent,NAIA,LIN,LUB,ILLB,506373.0
Lindsey Wilson Blue Raiders,Lindsey Wilson College,Blue Raiders,Mid-South Conference,NAIA,LW,LWC,KYLW,502727.0
Linfield Wildcats,Linfield College,Wildcats,Northwest Conference,3,LNW,LC,ORLI,1179.0
Livingstone Blue Bears,Livingstone College,Blue Bears,Central Intercollegiate Athletic Association,2,LIV,LC,NCLI,359.0
Lock Haven Bald Eagles,Lock Haven University,Bald Eagles,Pennsylvania State Athletic Conference,2,LH,LHU,PALH,360.0
Long Beach Vikings,Long Beach City College,Vikings,Southern California Football Association,CCCCA,LBC,LCC,CALG,
Long Island University Pioneers,Long Island University-C.W. Post,Pioneers,Northeast-10 Conference,2,LIU,CWP,NYCW,362.0
Loras Duhawks,Loras College,Duhawks,Iowa Intercollegiate Athletic Conference,3,LOR,LC,IALO,364.0
Louisiana State Fighting Tigers,Louisiana State University,Fighting Tigers,Southeastern Conference,1A,LSU,LOU,LAST,365.0
Louisiana Tech Bulldogs,Louisiana Tech University,Bulldogs,Conference USA,1A,LTU,LOU,LATC,366.0
Louisiana Wildcats,Louisiana College,Wildcats,American Southwest Conference,3,LCW,LSC,LALC,1182.0
Louisiana-Lafayette Ragin Cajuns,University of Louisiana-Lafayette,Ragin Cajuns,Sun Belt Conference,1A,ULL,LL,LASW,671.0
Louisiana-Monroe Warhawks,University of Louisiana-Monroe,Warhawks,Sun Belt Conference,1A,ULM,LM,LANE,498.0
Louisville Cardinals,University of Louisville,Cardinals,Atlantic Coast Conference,1A,LOU,UL,KYLO,367.0
Luther Norse,Luther College,Norse,Iowa Intercollegiate Athletic Conference,3,LUT,LC,IALU,372.0
Lycoming Warriors,Lycoming College,Warriors,Middle Atlantic Conference,3,LYC,LC,PALY,373.0
Macalester Scots,Macalester College,Scots,Midwest Conference,3,MAC,MC,MNMC,376.0
MacMurray Highlanders,MacMurray College,Highlanders,Upper Midwest Athletic Conference,3,MCH,MC,ILMC,377.0
Maine Black Bears,University of Maine,Black Bears,Colonial Athletic Association,1AA,ME,UM,MEUN,380.0
Maine Maritime Mariners,Maine Maritime Academy,Mariners,New England Football Conference,3,MMM,MAI,MEMA,378.0
Malone Pioneers,Malone University,Pioneers,Great Lakes Intercollegiate Athletic Conference,2,MAL,MU,OHML,30137.0
Manchester Spartans,Manchester College,Spartans,Heartland Collegiate Athletic Conference,3,MAN,MC,INMA,1192.0
Maranatha Crusaders,Maranatha Baptist College,Crusaders,Independent,3,MCC,MBC,WIMR,1194.0
Marian Knights,Marian University,Knights,Mid-States Football Association,NAIA,MAR,MU,INMC,502945.0
Marietta Pioneers,Marietta College,Pioneers,Ohio Athletic Conference,3,MAP,MC,OHMA,385.0
Marist Red Foxes,Marist College,Red Foxes,Pioneer Football League,1AA,MCR,MC,NYMR,386.0
Maritime Privateers,SUNY - Maritime College,Privateers,Eastern Collegiate Football Conference,3,SMC,MC,NYMA,478.0
Mars Hill Lions,Mars Hill College,Lions,South Atlantic Conference,2,MHC,MAR,NCMH,1199.0
Marshall Thundering Herd,Marshall University,Thundering Herd,Conference USA,1A,MAR,MU,WVMA,388.0
Martin Luther Knights,Martin Luther College,Knights,Upper Midwest Athletic Conference,3,ML,MLC,MNML,8597.0
Mary Hardin-Baylor Crusaders,University of Mary Hardin-Baylor,Crusaders,American Southwest Conference,3,MHB,MAR,TXHB,1203.0
Mary Marauders,University of Mary,Marauders,Northern Sun Intercollegiate Conference,2,UMM,UM,NDMY,30075.0
Maryland Terrapins,University of Maryland,Terrapins,Big Ten Conference,1A,MD,MAR,MDUN,392.0
Maryville Scots,Maryville College,Scots,USA South Athletic Conference,3,MSC,MC,TNMA,396.0
Massachusetts Institute of Technology Engineers,Massachusetts Institute of Technology,Engineers,New England Football Conference,3,MIT,MAS,MATC,398.0
Massachusetts Maritime Buccaneers,Massachusetts Maritime Academy,Buccaneers,Massachusetts State College Athletic Conference,3,MMB,MM,MAMA,399.0
Massachusetts Minutemen,University of Massachusetts,Minutemen,Mid-American Conference,1A,MA,UM,MAUN,400.0
Mayville State Comets,Mayville State University,Comets,North Star Athletic Association,NAIA,MSU,MAY,NDMA,502225.0
McDaniel Green Terror,McDaniel College,Green Terror,Centennial Conference,3,MCD,MDC,MDWE,773.0
McGill University,McGill University,McGill University,Quebec Student Sports Foundation,Canada,MCG,MG,CNMG,
McKendree Bearcats,McKendree College,Bearcats,Great Lakes Valley Conference,2,MCK,MC,ILMK,30138.0
McMaster Marauders,McMaster University,Marauders,Ontario Universities Athletic Association,Canada,MU,M,CNMC,
McMurry War Hawks,McMurry University,War Hawks,American Southwest Conference,3,MCM,MU,TXMC,8530.0
McNeese State Cowboys,McNeese State University,Cowboys,Southland Conference,1AA,MCN,MSU,LAMC,402.0
McPherson Bulldogs,McPherson College,Bulldogs,Kansas Collegiate Athletic Conference,NAIA,MCP,MC,KSMC,506039.0
Memphis Tigers,University of Memphis,Tigers,American Athletic Conference,1A,MEM,UM,TNMS,404.0
Menlo Oaks,Menlo College,Oaks,Independent,NAIA,MEN,MC,CAME,506392.0
Mercer Bears,Mercer University,Bears,Southern Conference,1AA,MER,MU,GAME,406.0
Mercyhurst Lakers,Mercyhurst College,Lakers,Pennsylvania State Athletic Conference,2,MCL,MCY,PAME,408.0
Merrimack Warriors,Merrimack College,Warriors,Northeast-10 Conference,2,MCW,MC,MAMK,410.0
Mesa State Mavericks,Mesa State College,Mavericks,Rocky Mountain Athletic Conference,2,MES,MSC,COME,11416.0
Methodist Monarchs,Methodist University,Monarchs,USA South Athletic Conference,3,MET,MU,NCME,412.0
Miami Hurricanes,University of Miami (Fla.),Hurricanes,Atlantic Coast Conference,1A,MIA,U,FLMI,415.0
Miami Redhawks,Miami University (Ohio),Redhawks,Mid-American Conference,1A,MIO,MOH,OHMI,414.0
Michigan State Spartans,Michigan State University,Spartans,Big Ten Conference,1A,MIC,MST,MIST,416.0
